TIEMPO,PALMAS,GUAZU,URUGUAY
2016-09-28,5591.714816916228,10883.361467574312,3030.3333883112314
2016-09-29,5592.9424841790915,10886.900080523172,2931.364649435681
2016-09-30,5590.404356144097,10879.555319102958,2845.569584269579
2016-10-01,5583.983643385859,10860.884467512711,2772.201746691557
2016-10-02,5573.578702188927,10830.452349030755,2708.5635808898655
2016-10-03,5558.73247486751,10786.755949383685,2656.3647315512335
2016-10-04,5539.941898066069,10731.027623238811,2614.145264814759
2016-10-05,5517.861132007795,10665.09104806882,2588.333633541869
2016-10-06,5492.846767541707,10589.825481821981,2589.08655778301
2016-10-07,5465.859659402785,10508.187710575152,2634.204596689808
2016-10-08,5437.258361996958,10421.210501241407,2731.0754643100295
2016-10-09,5407.294620966401,10329.79400367547,2861.256247565904
2016-10-10,5376.682732686038,10236.261785762319,3015.7458659700164
2016-10-11,5345.551391196166,10141.315091481509,3188.241555486554
2016-10-12,5314.551038130189,10047.313272866875,3366.9287458823624
2016-10-13,5284.104373243933,9955.865971193367,3577.16800102631
2016-10-14,5254.331064584594,9867.181945574706,3845.7828366218787
2016-10-15,5225.952929236501,9783.340927852389,4161.803459325036
2016-10-16,5199.455022578044,9705.565232225532,4528.6592105796135
2016-10-17,5175.142460319451,9634.479757640165,4965.473865448255
2016-10-18,5154.194141649894,9573.008681445901,5480.887595840033
2016-10-19,5136.448379884012,9520.569214862127,6067.764426166761
2016-10-20,5121.740747475631,9476.684528303946,6693.572256862147
2016-10-21,5110.180779276617,9441.871341360387,7328.852709821534
2016-10-22,5101.777191210585,9416.36678386346,7951.697757948203
2016-10-23,5096.4489979830305,9400.082451409078,8550.774564742274
2016-10-24,5094.511856504034,9394.120552779788,9134.22707011626
2016-10-25,5095.1244694564875,9396.008525589888,9718.738541175693
2016-10-26,5098.352339541111,9405.974698529046,10346.54397286707
2016-10-27,5104.752974384242,9425.785641053239,11046.364223308079
2016-10-28,5114.626173126189,9456.420207628664,11769.988793993445
2016-10-29,5127.713328837873,9497.164072078858,12435.288927989779
2016-10-30,5144.356795462796,9549.210076768697,13004.385733119929
2016-10-31,5164.4395082724195,9612.26841229533,13466.53579400949
2016-11-01,5187.879433998492,9686.158349629648,13808.190191667916
2016-11-02,5214.646974326549,9770.660636034778,14030.56688747308
2016-11-03,5244.036698720496,9863.547467429358,14146.049877627862
2016-11-04,5275.504545071641,9963.058409206938,14170.207248525725
2016-11-05,5308.694159651764,10068.122498353623,14110.145844677962
2016-11-06,5343.009150633372,10176.81670309948,13960.317219932273
2016-11-07,5377.975239555025,10287.525004015532,13733.910586881851
2016-11-08,5413.586650798549,10400.155135861722,13448.387686020831
2016-11-09,5449.666619752268,10514.321452112763,13103.525837276356
2016-11-10,5486.50610747011,10630.864279581292,12676.194583181808
2016-11-11,5524.043348680269,10749.54063356836,12141.17490344224
2016-11-12,5562.156638822033,10869.705354203637,11514.39751021054
2016-11-13,5600.499885113828,10990.217757002403,10850.02766154658
2016-11-14,5638.548228516202,11109.569183465588,10203.145531349555
2016-11-15,5675.652800564402,11225.780265240057,9588.671662939778
2016-11-16,5711.159855320033,11336.865942603252,9003.434312978048
2016-11-17,5743.577200758086,11438.766328874057,8446.17003081449
2016-11-18,5772.680967914776,11530.803099464942,7912.945793563278
2016-11-19,5798.446774166715,11612.922655245811,7400.4410004666215
2016-11-20,5820.712790617506,11684.382878971152,6910.625885466981
2016-11-21,5839.524362036898,11745.098986911495,6455.428883652151
2016-11-22,5855.020393383692,11795.376222453215,6034.791850740635
2016-11-23,5867.009834679357,11834.50732870617,5644.721746623239
2016-11-24,5876.208649961342,11864.509189286593,5288.921478731923
2016-11-25,5882.480678956245,11884.953685402326,4981.482393568617
2016-11-26,5885.557809678086,11895.001393282342,4731.817327817193
2016-11-27,5885.332500657979,11894.263623792804,4530.550327285016
2016-11-28,5881.817968762758,11882.727811559178,4372.725737684548
2016-11-29,5874.782119158773,11859.538984072391,4243.911781330267
2016-11-30,5864.34462496212,11825.008893800597,4130.538967907547
2016-12-01,5850.648225506643,11779.517197362695,4018.643947702292
2016-12-02,5833.88859803742,11723.725579480397,3897.5919507769713
2016-12-03,5814.407230608433,11658.869806076227,3768.911259091891
2016-12-04,5793.113264149875,11587.867487720301,3637.4650888655547
2016-12-05,5770.438157232866,11512.066147067426,3525.8626070114096
2016-12-06,5746.983639310026,11433.480031835494,3428.844239225976
2016-12-07,5723.290654619279,11353.965536367432,3327.9690758364527
2016-12-08,5699.599769734022,11274.280983489305,3221.2359844512785
2016-12-09,5676.029902176243,11194.715390335514,3110.801899738262
2016-12-10,5652.399064534489,11114.673141515404,2996.8516962044255
